case_id	case_primarysite	file_uuid	file_accesslevel_1	file_datatype_1	filename
305b0b57-5952-43c7-9063-7bcd954eb44d	Prostate gland	TCGA-PRAD.a793c4a6-8339-411f-bea9-b04cb243e27d.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb3f02e4b0b6e4344fdde6
00e41e6a-9fe7-44f9-978b-7b05b179506a	Prostate gland	TCGA-PRAD.5f3e122f-bef3-496d-9345-c25e659277ed.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb3f37e4b0b6e4344fef86
6755c231-355f-4cc3-85f1-6306c7f5d44b	Prostate gland	TCGA-PRAD.bb36767c-9099-438a-9db4-e1d8d0961dd3.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb40a1e4b0b6e434506352
6f4c1006-519d-4b16-8c96-690c63bea0b6	Prostate gland	TCGA-PRAD.d273d3a1-2be1-4ed5-8d7e-6af7114d8b30.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb41a9e4b0b6e43450b8d7
ce2b7e17-424e-4954-8a68-19d7f98d2e7e	Prostate gland	TCGA-PRAD.bcbd830a-af25-4ec2-8797-767a2b4148e4.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb3095e4b0b6e4344b0bae
f82d53b1-3df8-4249-a615-464c9f4e0a32	Prostate gland	TCGA-PRAD.34c59345-7e07-44eb-a1f2-ffb69c3da8cc.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb33a7e4b0b6e4344c1a96
aeec3005-25d7-45fc-a9ff-014d57960216	Prostate gland	TCGA-PRAD.cda5c305-a85e-4da1-9b00-e7803bca2053.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb33b5e4b0b6e4344c1f7c
d07d20f4-dd65-4ffc-add4-01f350ca7b65	Prostate gland	TCGA-PRAD.79d30e38-fc4d-4dbf-b1cb-eda9ac16d82b.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb358ee4b0b6e4344cbd33
adf3c2f7-d5f9-41c3-bd8c-7f9f1f22ff73	Prostate gland	TCGA-PRAD.fb189fe4-223b-4cca-969a-edf60a08f816.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb3a3ee4b0b6e4344e4cda
b5b3871c-078c-46a7-ac50-ef916d4a6781	Prostate gland	TCGA-PRAD.5f1c8721-1abd-437c-8143-8a095ea02097.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb3db0e4b0b6e4344f6e04
aa252f78-ebf3-42f9-86af-bb6e57345706	Prostate gland	TCGA-PRAD.d0f1fb1c-9c2a-404c-a0f2-d940ad3474ee.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb43d7e4b0b6e43451671e
e27bc39b-54f1-47b5-ac8f-3245dce690f4	Prostate gland	TCGA-PRAD.893a62e5-a0ac-4b21-b5f1-11bff1641478.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb449ae4b0b6e43451a425
d6974db6-2bd3-4082-b48e-9c60f7fe3a1f	Prostate gland	TCGA-PRAD.35e58745-53f0-49e4-83d1-50d7c7343787.gene_level_copy_number.tsv	Open	Gene Level Copy Number	5eeb47efe4b0b6e43452a960
1426b4bf-f4a5-477c-bbbb-e0e656549764	Prostate gland	640827e7-e319-4b34-a59b-485ef92cdc66.htseq.counts.gz	Open	Gene Expression Quantification	5eeb2d5fe4b0b6e43449fa3a
1426b4bf-f4a5-477c-bbbb-e0e656549764	Prostate gland	640827e7-e319-4b34-a59b-485ef92cdc66.FPKM.txt.gz	Open	Gene Expression Quantification	5eeb3b9fe4b0b6e4344ebc36
00e41e6a-9fe7-44f9-978b-7b05b179506a	Prostate gland	d5e1f394-fa12-4197-ab85-2e738847527e.FPKM.txt.gz	Open	Gene Expression Quantification	5eeb3cd6e4b0b6e4344f2494
1426b4bf-f4a5-477c-bbbb-e0e656549764	Prostate gland	640827e7-e319-4b34-a59b-485ef92cdc66.FPKM-UQ.txt.gz	Open	Gene Expression Quantification	5eeb41bbe4b0b6e43450bee8
00e41e6a-9fe7-44f9-978b-7b05b179506a	Prostate gland	2205b107-3cb2-46dd-b1f2-b9342df83d4a.FPKM.txt.gz	Open	Gene Expression Quantification	5eeb474ce4b0b6e4345275f8
00e41e6a-9fe7-44f9-978b-7b05b179506a	Prostate gland	d5e1f394-fa12-4197-ab85-2e738847527e.FPKM-UQ.txt.gz	Open	Gene Expression Quantification	5eeb4e25e4b0b6e434548ca0
305b0b57-5952-43c7-9063-7bcd954eb44d	Prostate gland	d6ba8228-62ee-4af1-b9bf-4db47304cbee.FPKM-UQ.txt.gz	Open	Gene Expression Quantification	5eeb2c8ae4b0b6e43449b174
348c2bf3-2146-4990-9adf-fa6968b4f072	Prostate gland	070af2c9-b54f-41e2-a48d-a7e3bfaa9025.FPKM-UQ.txt.gz	Open	Gene Expression Quantification	5eeb2e2ae4b0b6e4344a3f3c
348c2bf3-2146-4990-9adf-fa6968b4f072	Prostate gland	070af2c9-b54f-41e2-a48d-a7e3bfaa9025.FPKM.txt.gz	Open	Gene Expression Quantification	5eeb325ae4b0b6e4344ba9b0
348c2bf3-2146-4990-9adf-fa6968b4f072	Prostate gland	070af2c9-b54f-41e2-a48d-a7e3bfaa9025.htseq.counts.gz	Open	Gene Expression Quantification	5eeb495fe4b0b6e434531cda
305b0b57-5952-43c7-9063-7bcd954eb44d	Prostate gland	d6ba8228-62ee-4af1-b9bf-4db47304cbee.FPKM.txt.gz	Open	Gene Expression Quantification	5eeb4c68e4b0b6e434540a3a
305b0b57-5952-43c7-9063-7bcd954eb44d	Prostate gland	d6ba8228-62ee-4af1-b9bf-4db47304cbee.htseq.counts.gz	Open	Gene Expression Quantification	5eeb4f5ce4b0b6e43454eac6
6755c231-355f-4cc3-85f1-6306c7f5d44b	Prostate gland	0f27a12b-0fe7-4811-ac1e-13d3cc1e346b.FPKM.txt.gz	Open	Gene Expression Quantification	5eeb2bfce4b0b6e4344980db
8cc7679d-b963-4b45-b3f8-dcf80ea6cc71	Prostate gland	2e7b3bb4-a198-4816-b3fa-f23d79574ddd.FPKM-UQ.txt.gz	Open	Gene Expression Quantification	5eeb2c4ee4b0b6e434499dc2
f82d53b1-3df8-4249-a615-464c9f4e0a32	Prostate gland	58cb36ea-a8ce-4172-9ca8-750bf78b9f85.FPKM.txt.gz	Open	Gene Expression Quantification	5eeb3182e4b0b6e4344b5e0e
c51ccff8-2502-40e1-b130-fe655c119169	Prostate gland	193c13fa-d708-4f74-8e6e-e1eb5aa02ad7.FPKM-UQ.txt.gz	Open	Gene Expression Quantification	5eeb3397e4b0b6e4344c1590
b5b3871c-078c-46a7-ac50-ef916d4a6781	Prostate gland	d84aecda-2187-40e3-b2b5-2bb18e735ef2.FPKM-UQ.txt.gz	Open	Gene Expression Quantification	5eeb3581e4b0b6e4344cb910
